sseqid,length,isolate
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6059,ERR370007
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,5077,SRR14022736
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,12904,ERR987511
ICEberg|314|ICECdiM68-1|GenBank|FN668375|334783..353473,8264,ERR987511
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,7728,ERR987511
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6779,ERR987511
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,9045,ERR375011
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,5074,ERR375011
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,8200,ERR375514
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,15998,ERR1100631
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,15782,ERR1100631
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,15399,ERR1100631
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9664,ERR1100631
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,5540,ERR375485
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,16481,SRR14024976
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,15579,SRR14024976
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,11806,SRR14024976
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9360,SRR14024976
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,9279,SRR14024976
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6816,ERR984990
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,23304,ERR1100602
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,13035,ERR1100602
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,12424,ERR1100602
ICEberg|314|ICECdiM68-1|GenBank|FN668375|334783..353473,10680,ERR1100602
ICEberg|402|CTn6|GenBank|AM180355|3890925..3910292,5854,ERR1100602
ICEberg|318|Tn6085b|GenBank|HM243623|12581..33370,14935,ERR374924
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9424,ERR374924
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,8267,ERR374924
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6059,ERR374924
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,7127,ERR1156191
ICEberg|318|Tn6085b|GenBank|HM243623|12581..33370,14935,ERR374721
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8961,ERR374721
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,8267,ERR374721
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,5657,ERR374721
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8961,ERR369996
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,8264,ERR369996
ICEberg|326|Tn6087|GenBank|HQ663849|1..21169,6642,ERR369996
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6059,ERR369996
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,17411,ERR1036024
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,14144,ERR1036024
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,11806,ERR1036024
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9360,ERR1036024
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,9279,ERR1036024
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,17018,ERR1156301
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,11584,ERR1156301
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,8612,ERR1156301
ICEberg|402|CTn6|GenBank|AM180355|3890925..3910292,5854,ERR1156301
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,18036,SRR14024995
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,15978,SRR14024995
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,14818,SRR14024995
ICEberg|82|ICESpnH034800032|GenBank|FR671414|1..20370,14020,SRR14024995
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,9119,SRR14024995
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,5280,SRR14024995
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,13085,ERR375409
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,9207,ERR375409
ICEberg|326|Tn6087|GenBank|HQ663849|1..21169,6075,ERR375409
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,8807,ERR374693
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8111,ERR374693
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,5870,ERR375046
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,16481,SRR14025002
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,15579,SRR14025002
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,11806,SRR14025002
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9360,SRR14025002
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,9279,SRR14025002
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,12904,ERR987597
ICEberg|314|ICECdiM68-1|GenBank|FN668375|334783..353473,8264,ERR987597
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6779,ERR987597
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,6273,ERR987597
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,15996,ERR1100565
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,15929,ERR1100565
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,14262,ERR1100565
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9664,ERR1100565
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,14574,ERR369956
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,10230,ERR369956
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,8046,ERR369956
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,9260,SRR14022740
ICEberg|318|Tn6085b|GenBank|HM243623|12581..33370,14936,ERR369964
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,8670,ERR369964
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8622,ERR369964
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,5370,ERR369964
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,18036,SRR14026479
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,15979,SRR14026479
ICEberg|87|ICESpn9409|GenBank|FR671418|1..22765,14400,SRR14026479
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,12583,SRR14026479
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,8162,SRR14026479
ICEberg|770|ICECp1|GenBank|LN835295|52023..84499,5170,SRR14026479
ICEberg|770|ICECp1|GenBank|LN835295|52023..84499,18709,ERR987586
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,13712,ERR987586
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,10230,ERR987586
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9984,ERR987586
ICEberg|402|CTn6|GenBank|AM180355|3890925..3910292,6306,ERR987586
ICEberg|398|CTn1|GenBank|AM180355|428851..453332,6152,ERR987586
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,13987,ERR375335
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6428,ERR375335
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,18036,ERR987504
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,15978,ERR987504
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,14545,ERR987504
ICEberg|86|ICESpn11928|GenBank|FR671417|1..22793,14189,ERR987504
ICEberg|770|ICECp1|GenBank|LN835295|52023..84499,10733,ERR374945
ICEberg|398|CTn1|GenBank|AM180355|428851..453332,9086,ERR374945
ICEberg|87|ICESpn9409|GenBank|FR671418|1..22765,6989,ERR374945
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,7132,ERR987545
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,5540,ERR987545
ICEberg|318|Tn6085b|GenBank|HM243623|12581..33370,14935,ERR375382
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8622,ERR375382
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,8267,ERR375382
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6059,ERR375382
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,16214,SRR14024996
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,14144,SRR14024996
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,11806,SRR14024996
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9360,SRR14024996
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6402,SRR14026494
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,9584,ERR984998
ICEberg|318|Tn6085b|GenBank|HM243623|12581..33370,9460,ERR984998
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,7467,ERR984998
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,5870,ERR377481
ICEberg|398|CTn1|GenBank|AM180355|428851..453332,12666,SRR14022771
ICEberg|403|CTn7|GenBank|AM180355|3938102..3963961,12332,SRR14022771
ICEberg|770|ICECp1|GenBank|LN835295|52023..84499,10635,SRR14022771
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,9165,SRR14022771
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,10120,ERR1100633
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,17285,SRR14026542
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,11735,SRR14026542
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,10642,SRR14026542
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,7694,SRR14026542
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,5540,ERR1100529
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,7235,ERR985076
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,8302,ERR375579
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,5908,ERR375579
ICEberg|318|Tn6085b|GenBank|HM243623|12581..33370,14448,ERR375544
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,11685,ERR374751
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,11447,ERR374751
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,9307,ERR374751
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,18036,ERR1156249
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,15978,ERR1156249
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,15111,ERR1156249
ICEberg|86|ICESpn11928|GenBank|FR671417|1..22793,14189,ERR1156249
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,12705,ERR987626
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,8264,ERR987626
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,8171,ERR987626
ICEberg|398|CTn1|GenBank|AM180355|428851..453332,27899,ERR1100530
ICEberg|403|CTn7|GenBank|AM180355|3938102..3963961,23683,ERR1100530
ICEberg|770|ICECp1|GenBank|LN835295|52023..84499,20418,ERR1100530
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6060,ERR1100530
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,5725,ERR1100530
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,14121,ERR987565
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,13064,ERR987565
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8603,ERR987565
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,6939,ERR987565
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,7299,ERR1156269
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,10750,ERR1100585
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8014,ERR1100585
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,7033,ERR1100585
ICEberg|326|Tn6087|GenBank|HQ663849|1..21169,5858,ERR1100585
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,14144,SRR14026444
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,12738,SRR14026444
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,11806,SRR14026444
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9360,SRR14026444
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,8479,SRR14026444
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,12054,ERR388702
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,7651,ERR388702
ICEberg|326|Tn6087|GenBank|HQ663849|1..21169,5041,ERR388702
ICEberg|318|Tn6085b|GenBank|HM243623|12581..33370,14935,ERR374855
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8622,ERR374855
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,6895,ERR374855
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6059,ERR374855
ICEberg|318|Tn6085b|GenBank|HM243623|12581..33370,14935,ERR375010
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,9484,ERR375010
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8961,ERR375010
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6173,ERR375010
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,12705,ERR375188
ICEberg|314|ICECdiM68-1|GenBank|FN668375|334783..353473,8264,ERR375188
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,5370,ERR375188
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,18036,SRR14024979
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,15979,SRR14024979
ICEberg|86|ICESpn11928|GenBank|FR671417|1..22793,14189,SRR14024979
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,11529,SRR14024979
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,5870,ERR374990
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,15998,ERR1100638
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,15399,ERR1100638
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,15117,ERR1100638
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9664,ERR1100638
ICEberg|303|Tn916(pAM120)|GenBank|U49939|1344..19375,10155,SRR14026532
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,5169,SRR14026532
ICEberg|318|Tn6085b|GenBank|HM243623|12581..33370,14935,ERR374907
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8762,ERR374907
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,6836,ERR374907
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6059,ERR374907
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,5382,SRR14010938
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,6658,ERR985044
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6488,ERR985044
ICEberg|318|Tn6085b|GenBank|HM243623|12581..33370,14935,ERR374993
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9424,ERR374993
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,8669,ERR374993
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,5370,ERR374993
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,10436,ERR374724
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,9564,ERR374724
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,8264,ERR374724
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,7071,ERR1100559
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,15998,ERR1100591
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,15877,ERR1100591
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,15399,ERR1100591
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9664,ERR1100591
ICEberg|403|CTn7|GenBank|AM180355|3938102..3963961,11368,ERR985000
ICEberg|398|CTn1|GenBank|AM180355|428851..453332,10285,ERR985000
ICEberg|770|ICECp1|GenBank|LN835295|52023..84499,9486,ERR985000
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,9167,ERR985000
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8390,ERR985000
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,8302,ERR375574
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,7582,ERR375574
ICEberg|318|Tn6085b|GenBank|HM243623|12581..33370,14935,ERR374912
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,9484,ERR374912
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8960,ERR374912
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,5657,ERR374912
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,18036,ERR1100606
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,15978,ERR1100606
ICEberg|86|ICESpn11928|GenBank|FR671417|1..22793,14189,ERR1100606
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,13907,ERR1100606
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,5870,ERR374821
ICEberg|318|Tn6085b|GenBank|HM243623|12581..33370,14935,ERR374929
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8961,ERR374929
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,8267,ERR374929
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,16214,SRR14026549
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,14144,SRR14026549
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,11806,SRR14026549
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9360,SRR14026549
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,5870,ERR374723
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,17069,ERR1100630
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,15996,ERR1100630
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,15833,ERR1100630
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9664,ERR1100630
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,8979,ERR1100630
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,15579,SRR14026483
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,15427,SRR14026483
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,11806,SRR14026483
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,9360,SRR14026483
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,5388,ERR1156254
ICEberg|86|ICESpn11928|GenBank|FR671417|1..22793,5280,ERR1156254
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,20787,SRR14010948
ICEberg|314|ICECdiM68-1|GenBank|FN668375|334783..353473,18693,SRR14010948
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,17704,SRR14010948
ICEberg|770|ICECp1|GenBank|LN835295|52023..84499,5639,SRR14010948
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,10044,ERR374675
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,9723,ERR374675
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,9062,ERR375040
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,5313,ERR375040
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,9533,ERR375496
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8320,ERR375496
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,12524,ERR987601
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8326,ERR987601
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,6843,ERR987601
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,12054,ERR985065
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,7652,ERR985065
ICEberg|326|Tn6087|GenBank|HQ663849|1..21169,5041,ERR985065
ICEberg|318|Tn6085b|GenBank|HM243623|12581..33370,9460,ERR375177
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,7884,ERR375177
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,7467,ERR375177
ICEberg|326|Tn6087|GenBank|HQ663849|1..21169,5041,ERR375177
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6279,ERR1156299
ICEberg|318|Tn6085b|GenBank|HM243623|12581..33370,14935,ERR375091
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8762,ERR375091
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,8267,ERR375091
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,5370,ERR375091
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,12674,ERR374718
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,8046,ERR374718
ICEberg|326|Tn6087|GenBank|HQ663849|1..21169,5272,ERR374718
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,6101,ERR987600
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,10703,ERR375209
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,10631,ERR375209
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,9307,ERR375209
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,14578,ERR985080
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,10284,ERR985080
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,8264,ERR985080
ICEberg|326|Tn6087|GenBank|HQ663849|1..21169,6994,ERR985080
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,5789,ERR985080
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,9045,ERR374989
ICEberg|328|Tn6084|GenBank|HM243622|34197..56508,5949,SRR14011024
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276..556307,14121,ERR985014
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,13064,ERR985014
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,8603,ERR985014
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,7197,ERR985014
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,8735,SRR14024975
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,5823,SRR14024975
ICEberg|329|Tn6079|GenBank|GU951538|462..28872,5648,ERR375133
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,11737,ERR375498
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,6105,ERR375498
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,12705,ERR375347
ICEberg|314|ICECdiM68-1|GenBank|FN668375|334783..353473,8264,ERR375347
ICEberg|103|Tn5397|GenBank|AM180355|585384..606040,7439,ERR375347
ICEberg|327|ICEFal35896-1|GenBank|CP002390|1247077..1265062,12705,ERR1036060
